CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
SGU,PAZ GENERAL,673,CIUDADELA,BUENOS AIRES,LUN A VIE 09.30 A 18.30
SGX,TUYUTI,7215,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.30 A 18.30
SHA,GAONA,4639,CIUDADELA,BUENOS AIRES,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
SHD,PALACIOS DOCTOR ALFREDO,1645,TRONCOS DEL TALAR,BUENOS AIRES,LUN A SAB 08.00 A 20.00
SHE,YRIGOYEN HIPOLITO,1586,FLORENCIO VARELA,BUENOS AIRES,LUN A VIE 10.00 A 19.00
SHF,SAENZ,971,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 09.00 A 20.30
SHH,DE LOS INCAS,5475,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 14.00
SHK,TRONADOR,4272,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 10.00 A 13.00
SHL,SARMIENTO DOMINGO FAUSTINO,351,MARULL,CORDOBA,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.30 A 20.30 / SAB 08.30 A 12.30 / SAB 17.30 A 20.00
SHM,PERON JUAN DOMINGO,1325,PERITO MORENO,SANTA CRUZ,LUN A SAB 08.00 A 21.00 / DOM 10.00 A 21.00
