CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
PJP,URUGUAY,1399,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A SAB 09.30 A 13.30 / LUN A SAB 17.30 A 21.00 / DOM 09.30 A 13.30
PJK,MENDOZA PROVINCIA DE,331,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A SAB 08.00 A 22.00 / DOM 10.00 A 14.00 / DOM 18.00 A 22.00
PJU,12 DE OCTUBRE,1461,QUILMES,BUENOS AIRES,LUN A SAB 09.00 A 19.00
PKP,CORRIENTES,3126,ITUZAINGO,CORRIENTES,LUN A DOM 00.05 A 23.59
PJE,ALSINA ADOLFO,1337,ROSARIO,SANTA FE,LUN A VIE 09.00 A 18.00 / SAB 10.00 A 14.00
PJF,PERON TENIENTE GENERAL JUAN DOMINGO,47,APOSTOLES,MISIONES,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.30 / SAB 09.00 A 13.00 / SAB 17.00 A 21.30
PLR,SAENZ PEÑA ROQUE,575,CATRILO,LA PAMPA,LUN A VIE 08.30 A 12.30
PLS,TELLEZ BALDOMERO,45,SANTA ROSA,LA PAMPA,LUN A VIE 08.30 A 19.00
PLT,FRATINI,198,MACACHIN,LA PAMPA,LUN A VIE 09.30 A 12.00 / LUN A VIE 17.00 A 20.00 / SAB 17.00 A 20.00
PKY,ESPAÑA,740,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 08.00 A 14.00
PKS,VIEDMA FRANCISCO DE,138,COMODORO RIVADAVIA,CHUBUT,LUN A SAB 09.00 A 20.00
PKU,RICCHERI TENIENTE GENERAL PABLO,417,NEUQUEN,NEUQUEN,LUN A VIE 07.00 A 19.00
PKV,RIO NEGRO,1271,ZAPALA,NEUQUEN,LUN A VIE 09.00 A 21.00 / SAB 09.00 A 22.00
PKW,MITRE,1322,BERAZATEGUI,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
PKR,MARADONA DIEGO ARMANDO,214,BOULOGNE,BUENOS AIRES,LUN A VIE 14.00 A 18.00 / LUN A SAB 10.00 A 13.00
PLE,SAN MARTIN,6930,CARRODILLA LA PUNTILLA,MENDOZA,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.00
PLG,LOS PIMIENTOS,840,LAS HERAS,MENDOZA,LUN A SAB 11.00 A 14.00 / LUN A SAB 18.00 A 21.00
PMJ,ALVEAR GENERAL CARLOS MARIA DE,92,SAN MARTIN,MENDOZA,LUN A VIE 09.00 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00 / SAB 16.30 A 20.30
PMK,S/C,0,SAN MARTIN,MENDOZA,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00
PMM,MENDOZA,1734,SAN JUAN,SAN JUAN,LUN A VIE 09.00 A 15.00 / LUN A VIE 18.30 A 21.00 / SAB A DOM 09.30 A 14.00
PMR,33,0,SAN FDO DEL VALLE DE CATAMARCA,CATAMARCA,LUN A DOM 08.00 A 24.00
PNP,QUIROGA BRIGADIER FACUNDO,239,PUERTO RICO,MISIONES,LUN A VIE 07.30 A 12.00 / LUN A VIE 14.30 A 19.30
PNR,ALVEAR,3935,FONTANA,CHACO,LUN A VIE 08.00 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.00 / SAB 17.00 A 20.30
PNI,S/C MZA 2 LOTE 2 BARRIO LA DOLFINA,0,PLOTTIER,NEUQUEN,LUN A SAB 07.00 A 23.00 / DOM 09.00 A 23.00
PNL,SAN CARLOS DE BARILOCHE,700,LAS GRUTAS,RIO NEGRO,LUN A DOM 10.00 A 22.00
PNG,GOYENA PEDRO,1363,BURZACO,BUENOS AIRES,LUN A VIE 16.30 A 19.30 / LUN A SAB 09.00 A 13.00
PNF,LOPE DE VEGA,2676,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.30 / SAB 09.00 A 13.30
PMY,SAN MARTIN GENERAL JOSE DE,409,VILLAGUAY,ENTRE RIOS,LUN A VIE 09.00 A 19.00
PMZ,CHILE,1610,CHAJARI,ENTRE RIOS,LUN A VIE 09.00 A 12.00 / LUN A VIE 16.00 A 21.00
PNA,893,0,PARANA,ENTRE RIOS,LUN A VIE 08.00 A 18.00
PNC,SAN MARTIN GENERAL JOSE DE,4998,LA TABLADA,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
PMI,25 DE MAYO,0,LORETO,CORRIENTES,LUN A SAB 08.00 A 22.00
PMT,FRONDIZI PRESIDENTE DOCTOR ARTURO,1211,CORONEL PRINGLES,BUENOS AIRES,LUN A DOM 07.00 A 23.00
PMU,ESPAÑA,331,DARREGUEIRA,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.00
PMH,SARMIENTO DOMINGO FAUSTINO,926,LA PARA,CORDOBA,LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 08.30 A 12.30
PMG,ALBERDI JUAN BAUTISTA,711,PILAR,CORDOBA,LUN A SAB 08.00 A 22.00 / DOM 09.00 A 22.00
PMF,BELGRANO DOCTOR MANUEL,3582,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A SAB 09.00 A 14.00 / LUN A SAB 16.00 A 21.00 / DOM 10.00 A 13.00
PME,BELGRANO GENERAL MANUEL,96,SILVIO PELLICO,CORDOBA,LUN A VIE 08.00 A 13.00
PMD,RIVADAVIA BERNARDINO,1,VILLA DE MARIA,CORDOBA,LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00
PMC,DA VINCI LEONARDO,1992,CORDOBA,CORDOBA,LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 19.30 / SAB 10.00 A 13.00
PLU,BELGRANO DOCTOR MANUEL,3981,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A SAB 10.30 A 22.30 / DOM 09.30 A 13.30
PLW,41,439,LA PLATA,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 13.00
PLX,ARAOZ,17,DE LA GARMA,BUENOS AIRES,LUN A VIE 08.00 A 13.30 / LUN A VIE 16.00 A 21.00 / SAB 09.00 A 13.00 / SAB 16.00 A 20.00
PLY,DELLA PAOLERA ARTURO,2130,MAR DEL PLATA,BUENOS AIRES,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00 / DOM 09.00 A 13.00
PLZ,ACEVEDO JOAQUINA,4575,MAR DEL PLATA,BUENOS AIRES,LUN A SAB 09.00 A 14.00 / LUN A SAB 17.00 A 21.00
PMA,CHILE,3098,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 10.00 A 14.00 / LUN A VIE 16.00 A 20.00
PMB,MISIONES,730,BAHIA BLANCA,BUENOS AIRES,LUN A VIE 09.00 A 18.00
PLL,SARMIENTO PRESIDENTE DOMINGO FAUSTINO,520,GOYA,CORRIENTES,LUN A VIE 07.30 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 12.00 / SAB 17.00 A 20.00
PLN,LAVALLE,889,SAN ANTONIO DE ITATI,CORRIENTES,LUN A VIE 07.30 A 12.30 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 12.00 / SAB 17.00 A 21.00
PLP,AYACUCHO,2718,CORRIENTES,CORRIENTES,LUN A VIE 08.30 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.30 / SAB 17.00 A 21.00
PLC,SAN MARTIN GENERAL JOSE DE,1327,MARIA IGNACIA,BUENOS AIRES,LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
PLA,OLGUIN MARIA,945,RIO CUARTO,CORDOBA,LUN A VIE 09.00 A 14.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 14.00
PKZ,GOMEZ VALENTIN,2660,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.00
PFE,SUAREZ CORONEL,333,SAN RAFAEL,MENDOZA,LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.30 A 13.00
PNT,BELGRANO GENERAL MANUEL,178,MURPHY,SANTA FE,LUN A VIE 07.00 A 19.00 / SAB 09.00 A 12.00
PNU,SAN MARTIN,328,MARIA TERESA,SANTA FE,LUN A VIE 16.30 A 20.30 / LUN A VIE 07.30 A 15.00 / SAB 10.00 A 21.00
PNV,LIBERTADOR SAN MARTIN,1653,SAN JUAN,SAN JUAN,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 13.00
PNQ,YRIGOYEN PRESIDENTE HIPOLITO,399,VILLA TRANCAS,TUCUMAN,LUN A VIE 08.00 A 12.30 / LUN A VIE 17.00 A 20.30
OZJ,MANUEL COBO 302,                              ,MAR DE COBO,BUENOS AIRES,LUN A VIE 16.00 A 20.00 / SAB 10.00 A 21.00 / DOM 10.00 A 21.00
PNY,RAUCH,1866,CASEROS,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
PNX,IBARROLA,7109,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.30 / SAB 10.00 A 14.00
PNZ,BAIGORRIA,4405,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 19.00
POA,9 DE JULIO,124,BERNAL ESTE,BUENOS AIRES,LUN A VIE 09.30 A 13.30 / LUN A VIE 16.30 A 19.00 / SAB 09.30 A 13.00
POB,MARCONI INGENIERO GUILLERMO,3391,ISIDRO CASANOVA,BUENOS AIRES,LUN A VIE 10.00 A 19.00 / SAB 10.00 A 14.00
POC,CENTENARIO,189,SAN ISIDRO,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.00
POE,PERON PRESIDENTE JUAN DOMINGO,3571,EL PALOMAR,BUENOS AIRES,LUN A VIE 09.00 A 17.30 / SAB 09.00 A 12.30
POF,CATAMARCA,767,COSQUIN,CORDOBA,LUN A VIE 07.30 A 12.30 / LUN A VIE 16.00 A 21.00 / SAB 09.00 A 13.00
POG,DEL VALLE PROFESOR ARISTOBULO,4954,SANTA FE,SANTA FE,LUN A VIE 08.30 A 13.00 / LUN A VIE 15.30 A 18.00 / SAB 09.00 A 12.30
POH,SARMIENTO,1110,SANTA ISABEL,SANTA FE,LUN A VIE 08.30 A 12.00 / LUN A VIE 16.00 A 20.00
POJ,CHAMPAQUI,272,VILLA GENERAL BELGRANO,CORDOBA,LUN A VIE 09.30 A 12.30 / LUN A VIE 17.30 A 19.30
POK,BUENOS AIRES,1994,LUIS GUILLON,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
POL,LAMARCA EMILIO,1980,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 20.00 / SAB 10.00 A 13.00
POM,BALANCIN DE RODRIGUEZ VIUDA ENFERMERA REINALDA,3622,CIUDAD EVITA,BUENOS AIRES,LUN A VIE 17.00 A 19.00 / LUN A SAB 09.00 A 13.00
POO,SAN MARTIN,289,BAHIA BLANCA,BUENOS AIRES,LUN A VIE 08.00 A 20.00 / SAB 08.00 A 13.00 / SAB 16.00 A 20.00
POP,MITRE BARTOLOME,3870,MUNRO,BUENOS AIRES,LUN A VIE 09.00 A 17.30
POQ,RIO COLORADO,175,VILLALONGA,BUENOS AIRES,LUN A VIE 08.00 A 20.00
POR,SAENZ PEÑA ROQUE,197,BASAVILBASO,ENTRE RIOS,LUN A VIE 08.00 A 15.00
POS,12 DE ABRIL,1351,COLON,ENTRE RIOS,LUN A VIE 08.00 A 15.00
POT,ECHEVERRIA ESTEBAN,1740,CONCEPCION DEL URUGUAY,ENTRE RIOS,LUN A VIE 07.00 A 16.00 / SAB 08.00 A 12.30
POU,RIVADAVIA,0,ESTANISLAO DEL CAMPO,FORMOSA,LUN A SAB 08.00 A 12.30 / LUN A SAB 17.00 A 21.00
POV,EJERCITO LIBERTADOR,0,MISION TACAAGLE,FORMOSA,LUN A VIE 07.00 A 12.00
POW,LAS CALANDRIAS,2351,PARANA,ENTRE RIOS,LUN A VIE 16.00 A 22.00 / LUN A VIE 08.30 A 14.00
POX,BECHARA NELLA DE,198,FLORENCIA,SANTA FE,LUN A SAB 08.00 A 20.00
POY,URQUIZA GENERAL JUSTO JOSE DE,789,PARANA,ENTRE RIOS,LUN A SAB 07.30 A 24.00
POZ,21,1737,AVELLANEDA,SANTA FE,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 19.30 / SAB 09.00 A 12.00
PPA,MARCHINI LUIS,364,NOGOYA,ENTRE RIOS,LUN A VIE 08.30 A 12.30 / LUN A VIE 17.00 A 22.00
PPC,RIVADAVIA,1872,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
PPD,DELL ORO ITALO,1622,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
PPE,SALGUERO RAUL,2081,PERITO MORENO,SANTA CRUZ,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.30
PPF,SAN MARTIN GENERAL JOSE DE,67,MORON,BUENOS AIRES,LUN A VIE 08.00 A 17.00 / SAB 08.00 A 12.00
PPG,GALLARDO ANGEL,289,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
PPH,ESPAÑA,413,INTENDENTE ALVEAR,LA PAMPA,LUN A SAB 08.00 A 12.30 / LUN A SAB 16.00 A 21.00
PPI,PALACIOS ALFREDO LORENZO,340,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LUN A VIE 10.00 A 12.30 / LUN A VIE 18.30 A 21.30 / SAB 10.00 A 13.30 / SAB 18.00 A 21.30
ORE,ALVEAR PRESIDENTE MARCELO TORCUATO DE,222,BULNES,CORDOBA,LUN A VIE 08.00 A 13.00
PPK,BRASIL,2646,GOYA,CORRIENTES,LUN A SAB 08.00 A 23.00
PPM,FONTANA COMANDANTE LUIS JORGE,1,EL COLORADO,FORMOSA,LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00
PPO,MARECHAL LEOPOLDO,1164,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00
PPP,ALMAFUERTE,3901,FRANCISCO ALVAREZ,BUENOS AIRES,LUN A SAB 07.00 A 13.00
PPS,MEDRANO,508,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 19.00 / SAB 10.00 A 13.30
PIV,SUDAMERICA,638,CARLOS SPEGAZZINI,BUENOS AIRES,LUN A VIE 10.00 A 15.00 / SAB 08.00 A 12.00
PPT,MITRE PRESIDENTE BARTOLOME,362,AVELLANEDA,BUENOS AIRES,LUN A VIE 09.00 A 18.00
PPU,GIACAGLIA LUIS,308,ETRURIA,CORDOBA,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 12.00
PPR,SAN MARTIN GENERAL JOSE DE,585,VILLA NUEVA,CORDOBA,LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.00
PPV,JUSTO JUAN B,7395,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 17.00
PPW,ALAS CLAUDIO DE,2106,INGENIERO BUDGE,BUENOS AIRES,LUN A VIE 17.00 A 19.00 / LUN A SAB 09.00 A 13.00
PPX,LA RIOJA,2021,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00 / SAB 10.00 A 16.00
PPZ,PERON PRESIDENTE JUAN DOMINGO,3495,LOS POLVORINES,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A SAB 09.00 A 13.00
XUP,SANTA FE PROVINCIA DE,2442,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 19.30 / SAB 08.30 A 13.00
PQC,CONSTITUCION,1358,REALICO,LA PAMPA,LUN A SAB 09.00 A 22.00
PQD,GUEMES GENERAL MARTIN MIGUEL DE,545,TRES ARROYOS,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
PQE,JUSTO DOCTOR JUAN BAUTISTA,1418,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 07.00 A 20.00 / SAB A DOM 08.00 A 20.00
PQF,GONZALES CHAVES ADOLFO,287,BALCARCE,BUENOS AIRES,LUN A SAB 09.00 A 12.30 / LUN A SAB 16.00 A 21.00
PQG,445,270,MAR DEL PLATA,BUENOS AIRES,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.00
PQH,BRAVO MARIO,179,MAR DEL PLATA,BUENOS AIRES,LUN A SAB 09.00 A 13.00 / LUN A SAB 16.30 A 20.00 / DOM 09.00 A 13.00
PQI,CAA CATI,0,PALMAR GRANDE,CORRIENTES,LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 21.00
PQJ,MASSA SANTIAGO,1305,CENTENO,SANTA FE,LUN A DOM 08.00 A 19.00
PQK,GOMEZ GOBERNADOR,736,CURUZU CUATIA,CORRIENTES,LUN A VIE 07.30 A 12.30 / LUN A VIE 16.30 A 20.00 / SAB 08.00 A 12.30
PQL,FREYRE GOBERNADOR RODOLFO,2272,SANTA FE,SANTA FE,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 12.30
PQM,BERMUDEZ JOSE A,5525,ROSARIO,SANTA FE,LUN A SAB 08.00 A 13.00 / LUN A SAB 16.00 A 19.00
PJL,MENDOZA SUR,2343,RAWSON,SAN JUAN,LUN A SAB 10.00 A 14.00 / LUN A SAB 18.00 A 22.00
PQP,LOPE DE VEGA,1770,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
NUP,BELGRANO MANUEL,1055,CANDIOTI,SANTA FE,LUN A VIE 07.00 A 12.00
OSF,SAN MARTIN,0,LA CAUTIVA,CORDOBA,LUN A VIE 07.00 A 13.00
XNB,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,475,SEBASTIAN ELCANO,CORDOBA,LUN A VIE 07.00 A 13.00
PRK,CORDOBA,1347,CORRIENTES,CORRIENTES,LUN A VIE 09.00 A 14.00 / LUN A VIE 15.00 A 18.00
PRL,MORENO DOCTOR MARIANO,101,CAÑADA DE GOMEZ,SANTA FE,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 12.00
PRN,RUTA 13 Y AV. DEMARCHI,                              ,PAGO DE LOS DESEOS,CORRIENTES,LUN A VIE 07.00 A 12.00
PRC,GARCIA AGUSTIN,6649,RINCON DE MILBERG,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.00
PRE,NUESTRAS MALVINAS,153,MONTE GRANDE,BUENOS AIRES,LUN A VIE 09.00 A 16.30 / SAB 09.00 A 12.30
PRF,RODRIGUEZ MARTIN,208,BOULOGNE,BUENOS AIRES,LUN A VIE 07.00 A 19.00 / SAB 08.30 A 13.00
PRG,AVELLANEDA DOCTOR NICOLAS,52,EZEIZA,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 08.00 A 13.00
PRH,ONZARI FABIAN,1329,WILDE,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A SAB 09.00 A 13.00
PQY,SARMIENTO,510,GLEW,BUENOS AIRES,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
PQZ,53,3015,GUILLERMO E HUDSON,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A SAB 09.00 A 13.00
PRB,PARAGUAY,4194,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAB 10.00 A 23.00 / VIERNES 10.00 A 23.00 / LUN A JUEV 10.00 A 22.00
PQO,SARMIENTO PRESIDENTE DOMINGO FAUSTINO,1,EL CHAÑAR,TUCUMAN,LUN A VIE 08.00 A 13.00
PQU,SARMIENTO DOMINGO FAUSTINO,1950,CRUZ DEL EJE,CORDOBA,LUN A DOM 09.00 A 23.00
XLS,MARRERO JOSE,220,VILLA YACANTO,CORDOBA,LUN A VIE 07.00 A 13.00
PQW,SAAVEDRA LAMAS DOCTOR CARLOS,572,YERBA BUENA,TUCUMAN,LUN A VIE 09.00 A 13.30 / LUN A VIE 18.00 A 21.00 / SAB 09.30 A 13.30
PQX,9 DE JULIO,9,MONTE QUEMADO,SANTIAGO DEL ESTERO,LUN A SAB 08.30 A 12.00 / LUN A SAB 19.00 A 21.30
PQR,CATAMARCA,2775,FUNES,SANTA FE,LUN A VIE 09.00 A 20.00 / SAB 09.00 A 13.00 / SAB 16.00 A 20.00
PQS,MANZANA 2 DEMETRIO GOMEZ,                              ,ALTO VERDE,SANTA FE,LUN A SAB 16.00 A 21.00 / LUN A SAB 09.30 A 13.00 / DOM 09.30 A 13.00
PRP,S/C,0,SAN FDO DEL VALLE DE CATAMARCA,CATAMARCA,LUN A SAB 08.00 A 24.00
PRR,S/C,0,LA PUNTA,SAN LUIS,LUN A DOM 09.00 A 15.00 / LUN A DOM 17.00 A 24.00
PRS,DEL VALLE ARISTOBULO,59,SAN LUIS,SAN LUIS,LUN A VIE 10.00 A 17.00 / SAB 10.00 A 14.00
PRT,PRINGLES CORONEL JUAN PASCUAL,158,TILISARAO,SAN LUIS,LUN A DOM 07.30 A 24.00
PRU,MITRE BARTOLOME,202,GENERAL ALVEAR,MENDOZA,LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 21.30 / SAB 09.00 A 13.30 / SAB 18.00 A 21.00
PRV,SAN MARTIN GENERAL JOSE DE,880,MALARGUE,MENDOZA,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
PRW,IRIGOYEN DOCTOR BERNARDO DE,225,SAN RAFAEL,MENDOZA,LUN A VIE 08.30 A 20.30 / SAB 08.30 A 12.30
PRY,BARI SAN NICOLAS DE,300,LA RIOJA,LA RIOJA,LUN A SAB 09.00 A 24.00 / DOM 09.00 A 14.00
PSA,BALCARCE,132,LUJAN DE CUYO,MENDOZA,LUN A SAB 17.00 A 21.00 / LUN A SAB 09.00 A 15.00
PSB,CARRIL MIRADOR,0,12 DE OCTUBRE,MENDOZA,LUN A SAB 08.00 A 13.00 / LUN A SAB 16.00 A 20.00
PSC,INDEPENDENCIA,1823,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
PSH,ZUFRIATEGUI JUAN,1525,FLORIDA,BUENOS AIRES,LUN A VIE 09.00 A 19.30 / SAB 09.00 A 13.00
PSI,GORRITI,3602,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 19.00 / SAB 08.00 A 13.00
PSK,ARGENTINA,102,SIERRA DE LOS PADRES,BUENOS AIRES,LUN A VIE 07.30 A 20.00 / SAB 09.00 A 13.00 / SAB 16.00 A 20.00 / DOM 09.00 A 13.00
PSL,AGUIRRE INTENDENTE CELESTINO,0,COTE LAI,CHACO,LUN A VIE 08.00 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.00 / SAB 17.00 A 20.30
PSO,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,2128,PUERTO MADRYN,CHUBUT,LUN A VIE 07.00 A 20.00 / SAB 09.00 A 13.00 / SAB 17.00 A 20.00
PST,DEL VALLE ARISTOBULO,1798,MARCOS PAZ,BUENOS AIRES,LUN A VIE 08.00 A 15.00
PSU,200,0,MARCOS PAZ,BUENOS AIRES,LUN A VIE 08.00 A 15.00
PSV,PIO X,208,RIO TERCERO,CORDOBA,LUN A VIE 08.00 A 16.00 / SAB 08.30 A 12.30
PSX,PICO GENERAL,2308,REMEDIOS DE ESCALADA,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.30 A 13.30
PSY,PERON EVA,3294,LANUS ESTE,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.30 A 13.30
PSZ,PERON EVA,4335,MONTE CHINGOLO,BUENOS AIRES,LUN A VIE 08.30 A 18.30 / SAB 08.30 A 13.30
PTA,9 DE JULIO,2180,LANUS ESTE,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.30 A 13.30
MEB,ALVAREZ THOMAS CORONEL IGNACIO,771,SAN FRANCISCO DEL MONTE,MENDOZA,LUN A VIE 09.00 A 13.30 / LUN A VIE 16.30 A 20.00 / SAB 10.30 A 12.30
PTB,PELLEGRINI CARLOS,627,QUILMES,BUENOS AIRES,LUN A VIE 07.30 A 19.00 / SAB 09.00 A 14.00
PTC,BELGRANO DOCTOR MANUEL,2886,SARANDI,BUENOS AIRES,LUN A VIE 09.00 A 18.00
PTD,O HIGGINS GENERAL BERNARDO,1946,LANUS ESTE,BUENOS AIRES,LUN A VIE 08.30 A 19.30 / SAB 10.00 A 14.00
PTE,YRIGOYEN HIPOLITO,2317,SAN JUSTO,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 09.30 A 14.00
PTF,MATIENZO TENIENTE AVIADOR BENJAMIN,2238,CIUDAD JARDIN DEL PALOMAR,BUENOS AIRES,LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 09.30 A 13.00
PTG,DE LA TORRE DOCTOR LISANDRO,1592,INGENIERO BUDGE,BUENOS AIRES,LUN A SAB 09.00 A 13.00
PTH,ALSINA,127,QUILMES,BUENOS AIRES,LUN A VIE 10.00 A 19.00 / SAB 10.00 A 14.00
PTI,LIBERTADOR GENERAL SAN MARTIN,700,VILLA LYNCH,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 10.00 A 13.00
PTJ,RICCHERI TENIENTE GENERAL PABLO,721,BELLA VISTA,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A SAB 09.00 A 13.00
PTK,SARMIENTO,1074,AGUILARES,TUCUMAN,LUN A VIE 08.00 A 22.00 / SAB 08.00 A 21.00
PTL,SANTA CRUZ,298,YERBA BUENA,TUCUMAN,LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 20.00 / SAB 08.00 A 13.00
PTM,MITRE BARTOLOME,301,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A VIE 09.00 A 12.00 / LUN A VIE 18.00 A 20.00 / SAB 09.00 A 12.00
PTO,AV. DE LAS BALLENAS 376,                              ,PUERTO PIRAMIDES,CHUBUT,LUN A SAB 10.00 A 12.00 / LUN A SAB 18.00 A 20.00
PTP,EVITA,2564,GENERAL ROCA,RIO NEGRO,LUN A VIE 07.00 A 22.00 / SAB A DOM 10.00 A 22.00
PTQ,PANAMERICANA,2675,GODOY CRUZ,MENDOZA,LUN A SAB 09.00 A 21.00 / DOM 10.00 A 21.00
PTR,9 DE JULIO,1498,SAN RAFAEL,MENDOZA,LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 08.30 A 13.00
PTS,BELGRANO GENERAL MANUEL,420,TUPUNGATO,MENDOZA,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00
PTT,5,176,MERLO,SAN LUIS,LUN A DOM 10.00 A 22.00
PTV,LAVALLE,1492,SAN LUIS,SAN LUIS,LUN A SAB 09.00 A 22.00
